query	runtime_sec	exit_code	hits
s4-0019-0003	245	0	353
s4-0019-0004	56	0	1625
s4-0019-0005	90	0	3590
s4-0019-0006	255	0	399
s4-0019-0007	39	0	297
s4-0019-0008	277	0	1321
s4-0019-0009	234	0	275
s4-0019-0010	95	0	4117
s4-0019-0011	260	0	566
s4-0019-0012	305	0	2046
s4-0019-0013	264	0	875
s4-0019-0014	243	0	323
s4-0019-0015	31	0	3
s4-0020-0000	108	0	3000
s4-0020-0001	392	0	1399
s4-0020-0002	72	0	1624
s4-0020-0003	48	0	366
s4-0020-0004	363	0	1658
s4-0020-0005	410	0	3719
s4-0020-0006	160	0	3497
s4-0020-0007	314	0	319
s4-0020-0008	68	0	1278
s4-0020-0009	309	0	344
s4-0020-0010	434	0	4122
s4-0020-0011	325	0	569
s4-0020-0012	330	0	412
s4-0020-0013	349	0	623
s4-0020-0014	382	0	333
s4-0020-0015	381	0	236
s4-0021-0000	44	0	463
s4-0021-0001	248	0	84
s4-0021-0002	242	0	121
s4-0021-0003	238	0	35
s4-0021-0004	233	0	126
s4-0021-0005	38	0	284
s4-0021-0006	242	0	35
s4-0021-0007	33	0	51
s4-0021-0008	36	0	226
s4-0021-0009	33	0	153
s4-0021-0010	65	0	1828
s4-0021-0011	39	0	283
s4-0021-0012	45	0	476
s4-0021-0013	31	0	0
s4-0021-0014	244	0	180
s4-0021-0015	31	0	0
s4-0022-0000	54	0	661
s4-0022-0001	256	0	123
s4-0022-0002	38	0	249
s4-0022-0003	47	0	753
s4-0022-0004	268	0	340
s4-0022-0005	272	0	275
s4-0022-0006	267	0	415
s4-0022-0007	30	0	0
s4-0022-0008	266	0	276
s4-0022-0009	240	0	34
s4-0022-0010	39	0	98
s4-0022-0011	276	0	328
s4-0022-0012	267	0	436
s4-0022-0013	246	0	86
s4-0022-0014	36	0	119
s4-0022-0015	239	0	0
s4-0023-0000	353	0	143
s4-0023-0001	334	0	36
s4-0023-0002	293	0	54
s4-0023-0003	287	0	54
s4-0023-0004	43	0	48
s4-0023-0005	294	0	15
s4-0023-0006	41	0	14
s4-0023-0007	42	0	6
s4-0023-0008	290	0	44
s4-0023-0009	289	0	28
s4-0023-0010	124	0	1620
s4-0023-0011	41	0	0
s4-0023-0012	309	0	24
s4-0023-0013	45	0	13
s4-0023-0014	54	0	65
s4-0023-0015	357	0	0
s4-0024-0000	279	0	641
s4-0024-0001	33	0	75
s4-0024-0002	35	0	284
s4-0024-0003	31	0	18
s4-0024-0004	251	0	136
s4-0024-0005	84	0	2995
s4-0024-0006	241	0	72
s4-0024-0007	234	0	16
s4-0024-0008	46	0	217
s4-0024-0009	243	0	49
s4-0024-0010	264	0	112
s4-0024-0011	40	0	22
s4-0024-0012	49	0	339
s4-0024-0013	31	0	0
s4-0024-0014	41	0	57
s4-0024-0015	237	0	0
s4-0025-0000	95	0	3555
s4-0025-0001	60	0	1467
s4-0025-0002	298	0	1934
s4-0025-0003	255	0	537
s4-0025-0004	78	0	2088
s4-0025-0005	288	0	761
s4-0025-0006	338	0	3374
s4-0025-0007	52	0	1155
s4-0025-0008	310	0	2119
s4-0025-0009	288	0	1717
s4-0025-0010	59	0	792
s4-0025-0011	271	0	575
s4-0025-0012	117	0	2145
s4-0025-0013	73	0	2000
s4-0025-0014	337	0	3308
s4-0025-0015	293	0	1711
s4-0026-0000	107	0	4056
s4-0026-0001	73	0	2198
s4-0026-0002	82	0	3057
s4-0026-0003	320	0	3159
s4-0026-0004	335	0	3080
s4-0026-0005	57	0	1062
s4-0026-0006	340	0	3899
s4-0026-0007	328	0	3264
s4-0026-0008	82	0	2366
s4-0026-0009	266	0	836
s4-0026-0010	310	0	1224
s4-0026-0011	304	0	1577
s4-0026-0012	323	0	2838
s4-0026-0013	69	0	1500
s4-0026-0014	343	0	3659
s4-0026-0015	338	0	3228
s4-0027-0000	255	0	292
s4-0027-0001	241	0	54
s4-0027-0002	238	0	86
s4-0027-0003	233	0	15
s4-0027-0004	244	0	84
s4-0027-0005	249	0	135
s4-0027-0006	35	0	67
s4-0027-0007	233	0	0
s4-0027-0008	37	0	172
s4-0027-0009	237	0	63
s4-0027-0010	75	0	55
s4-0027-0011	33	0	32
s4-0027-0012	250	0	397
s4-0027-0013	33	0	0
s4-0027-0014	238	0	56
s4-0027-0015	32	0	0
s4-0028-0000	38	0	195
s4-0028-0001	32	0	43
s4-0028-0002	230	0	95
s4-0028-0003	33	0	25
s4-0028-0004	233	0	54
s4-0028-0005	243	0	23
s4-0028-0006	238	0	18
s4-0028-0007	232	0	8
s4-0028-0008	237	0	54
s4-0028-0009	29	0	10
s4-0028-0010	301	0	1702
s4-0028-0011	233	0	16
s4-0028-0012	242	0	127
s4-0028-0013	238	0	35
s4-0028-0014	32	0	0
s4-0028-0015	31	0	0
s4-0029-0000	51	0	90
s4-0029-0001	50	0	28
s4-0029-0002	284	0	23
s4-0029-0003	282	0	14
s4-0029-0004	41	0	32
s4-0029-0005	40	0	11
s4-0029-0006	296	0	14
s4-0029-0007	85	0	8
s4-0029-0008	289	0	45
s4-0029-0009	288	0	87
s4-0029-0010	51	0	225
s4-0029-0011	40	0	0
s4-0029-0012	45	0	18
s4-0029-0013	43	0	23
s4-0029-0014	358	0	6
s4-0029-0015	54	0	0
s4-0030-0000	52	0	81
s4-0030-0001	325	0	63
s4-0030-0002	40	0	53
s4-0030-0003	311	0	338
s4-0030-0004	43	0	30
s4-0030-0005	300	0	36
s4-0030-0006	43	0	36
s4-0030-0007	39	0	0
s4-0030-0008	83	0	20
s4-0030-0009	276	0	9
s4-0030-0010	289	0	7
s4-0030-0011	41	0	6
s4-0030-0012	44	0	10
s4-0030-0013	42	0	7
s4-0030-0014	357	0	1
s4-0030-0015	55	0	0
s4-0031-0000	49	0	28
s4-0031-0001	49	0	2
s4-0031-0002	40	0	7
s4-0031-0003	286	0	11
s4-0031-0004	41	0	20
s4-0031-0005	40	0	65
s4-0031-0006	311	0	153
s4-0031-0007	294	0	0
s4-0031-0008	292	0	14
s4-0031-0009	285	0	1
s4-0031-0010	297	0	8
s4-0031-0011	290	0	0
s4-0031-0012	310	0	4
s4-0031-0013	306	0	1
s4-0031-0014	54	0	0
s4-0031-0015	363	0	0
s4-0032-0000	301	0	1172
s4-0032-0001	44	0	484
s4-0032-0002	78	0	435
s4-0032-0003	274	0	845
s4-0032-0004	46	0	434
s4-0032-0005	37	0	117
s4-0032-0006	265	0	696
s4-0032-0007	50	0	925
s4-0032-0008	38	0	330
s4-0032-0009	235	0	72
s4-0032-0010	319	0	2454
s4-0032-0011	243	0	97
s4-0032-0012	276	0	667
s4-0032-0013	267	0	239
s4-0032-0014	235	0	0
s4-0032-0015	229	0	0
s4-0033-0000	277	0	641
s4-0033-0001	257	0	263
s4-0033-0002	242	0	232
s4-0033-0003	243	0	59
s4-0033-0004	266	0	564
s4-0033-0005	36	0	215
s4-0033-0006	271	0	457
s4-0033-0007	37	0	232
s4-0033-0008	39	0	252
s4-0033-0009	34	0	139
s4-0033-0010	336	0	3008
s4-0033-0011	45	0	461
s4-0033-0012	267	0	402
s4-0033-0013	249	0	133
s4-0033-0014	235	0	0
s4-0033-0015	30	0	0
s4-0034-0000	65	0	1118
s4-0034-0001	84	0	265
s4-0034-0002	50	0	308
s4-0034-0003	240	0	79
s4-0034-0004	54	0	483
s4-0034-0005	46	0	121
s4-0034-0006	271	0	726
s4-0034-0007	49	0	293
s4-0034-0008	49	0	367
s4-0034-0009	255	0	297
s4-0034-0010	347	0	3420
s4-0034-0011	260	0	340
s4-0034-0012	263	0	515
s4-0034-0013	253	0	322
s4-0034-0014	29	0	0
s4-0034-0015	240	0	0
s4-0035-0000	43	0	822
s4-0035-0001	33	0	145
s4-0035-0002	32	0	133
s4-0035-0003	37	0	567
s4-0035-0004	38	0	240
s4-0035-0005	37	0	48
s4-0035-0006	86	0	465
s4-0035-0007	50	0	661
s4-0035-0008	44	0	159
s4-0035-0009	47	0	246
s4-0035-0010	72	0	2343
s4-0035-0011	31	0	0
s4-0035-0012	35	0	326
s4-0035-0013	241	0	196
s4-0035-0014	234	0	0
